datetime,open,high,low,close,volume,ret,ma_40,ma_100,signal,position,turnover,cost,strategy_ret,equity,buy_hold
2020-12-08 20:00:00+00:00,1.7357,1.7357,1.6664,1.6824,87581.72,-0.030931397960947016,1.79318,1.854503,-1,-1.0,0.0,0.0,0.030931397960947016,0.5565453291518102,1.043851537041144
2020-12-08 21:00:00+00:00,1.6781,1.71,1.6701,1.7025,83220.1,0.011947218259629189,1.7895150000000002,1.852022,-1,-1.0,0.0,0.0,-0.011947218259629189,0.544598110892181,1.0557987553007733
2020-12-08 22:00:00+00:00,1.7041,1.7173,1.65,1.65,72487.62,-0.03083700440528636,1.7844025000000001,1.848948,-1,-1.0,0.0,0.0,0.03083700440528636,0.5754351152974674,1.024961750895487
2020-12-08 23:00:00+00:00,1.6484,1.6842,1.6211,1.6631,116205.73,0.007939393939393913,1.7796600000000002,1.84613,-1,-1.0,0.0,0.0,-0.007939393939393913,0.5674957213580735,1.0329011448348808
2020-12-09 00:00:00+00:00,1.66,1.6671,1.6429,1.6488,68344.27,-0.008598400577235266,1.7747699999999997,1.843309,-1,-1.0,0.0,0.0,0.008598400577235266,0.5760941219353087,1.0243027442576453
2020-12-09 01:00:00+00:00,1.6488,1.6729,1.6422,1.6613,54433.99,0.007581271227559361,1.7702575,1.8408399999999998,-1,-1.0,0.0,0.0,-0.007581271227559361,0.5685128507077494,1.031884015485205
2020-12-09 02:00:00+00:00,1.6605,1.6711,1.6407,1.6617,79150.42,0.0002407752964546095,1.7661825,1.838914,-1,-1.0,0.0,0.0,-0.0002407752964546095,0.5682720754112948,1.0321247907816593
2020-12-09 03:00:00+00:00,1.6607,1.6607,1.6418,1.6569,44435.81,-0.0028886080519948676,1.76193,1.8369479999999998,-1,-1.0,0.0,0.0,0.0028886080519948676,0.5711606834632896,1.0292361827296646
2020-12-09 04:00:00+00:00,1.6584,1.6594,1.6259,1.6281,35880.67,-0.01738185768604017,1.7559675000000001,1.834726,-1,-1.0,0.0,0.0,0.01738185768604017,0.5885425411493298,1.0118543250436245
2020-12-09 05:00:00+00:00,1.6278,1.635,1.6129,1.6203,64538.81,-0.004790860512253525,1.749775,1.832514,-1,-1.0,0.0,0.0,0.004790860512253525,0.5933334016615833,1.0070634645313707
2020-12-09 06:00:00+00:00,1.6249,1.6438,1.624,1.6433,35558.85,0.014194902178608748,1.74407,1.83035,-1,-1.0,0.0,0.0,-0.014194902178608748,0.5791384994829746,1.0212583667099797
2020-12-09 07:00:00+00:00,1.644,1.6466,1.5516,1.5516,197591.79,-0.05580234893202696,1.7356200000000002,1.827226,-1,-1.0,0.0,0.0,0.05580234893202696,0.6349408484150015,0.9654560177779526
2020-12-09 08:00:00+00:00,1.5517,1.5637,1.5,1.5545,325696.76,0.001869038411961732,1.7273074999999998,1.824122,-1,-1.0,0.0,0.0,-0.001869038411961732,0.6330718100030398,0.9673250561899144
2020-12-09 09:00:00+00:00,1.5538,1.5925,1.5509,1.5839,366335.69,0.018912833708587984,1.7199524999999998,1.821164,-1,-1.0,0.0,0.0,-0.018912833708587984,0.6141589762944518,0.9862378898985024
2020-12-09 10:00:00+00:00,1.5825,1.609,1.5668,1.609,95324.12,0.015846960035355684,1.71478,1.8183090000000002,-1,-1.0,0.0,0.0,-0.015846960035355684,0.5983120162590961,1.002084849933858
2020-12-09 11:00:00+00:00,1.6094,1.6346,1.6066,1.6313,43562.61,0.013859540087010513,1.7101525,1.8156999999999999,-1,-1.0,0.0,0.0,-0.013859540087010513,0.5844524761720856,1.0159443900208687
2020-12-09 12:00:00+00:00,1.6293,1.6397,1.6129,1.6209,37463.05,-0.006375283516214081,1.7053324999999997,1.8126740000000001,-1,-1.0,0.0,0.0,0.006375283516214081,0.5908277596882997,1.0095691065046544
2020-12-09 13:00:00+00:00,1.6226,1.65,1.6074,1.6485,71108.22,0.017027577271885974,1.7009575000000001,1.8098990000000001,-1,-1.0,0.0,0.0,-0.017027577271885974,0.5738001824164137,1.0265966837765403
2020-12-09 14:00:00+00:00,1.6469,1.6532,1.6346,1.65,61829.59,0.0009099181073701779,1.6965474999999999,1.80724,-1,-1.0,0.0,0.0,-0.0009099181073701779,0.5728902643090436,1.0275066018839105
2020-12-09 15:00:00+00:00,1.6506,1.6532,1.6258,1.6461,58570.9,-0.0023636363636363455,1.69202,1.8045820000000001,-1,-1.0,0.0,0.0,0.0023636363636363455,0.5752539006726799,1.0251429655202742
2020-12-09 16:00:00+00:00,1.6485,1.6497,1.612,1.6309,96991.56,-0.009233946904805279,1.6871575,1.801745,-1,-1.0,0.0,0.0,0.009233946904805279,0.5844878475774852,1.015909018615469
2020-12-09 17:00:00+00:00,1.6303,1.6427,1.6154,1.6154,63165.87,-0.009503954871543319,1.6821199999999998,1.798943,-1,-1.0,0.0,0.0,0.009503954871543319,0.5939918024490285,1.0064050637439257
2020-12-09 18:00:00+00:00,1.6199,1.628,1.6,1.6021,49431.42,-0.008233254921381605,1.6768075,1.7956370000000001,-1,-1.0,0.0,0.0,0.008233254921381605,0.6022250573704101,0.9981718088225441
2020-12-09 19:00:00+00:00,1.6066,1.6271,1.6014,1.6131,56540.05,0.006865988390237776,1.672345,1.792418,-1,-1.0,0.0,0.0,-0.006865988390237776,0.5953590689801723,1.0050377972127817
2020-12-09 20:00:00+00:00,1.6128,1.6392,1.6095,1.6325,58550.87,0.012026532763002917,1.6684224999999997,1.789157,-1,-1.0,0.0,0.0,-0.012026532763002917,0.5833325362171694,1.0170643299757849
2020-12-09 21:00:00+00:00,1.6324,1.6545,1.6279,1.6471,43699.49,0.008943338437978454,1.6642825,1.7860319999999998,-1,-1.0,0.0,0.0,-0.008943338437978454,0.574389197779191,1.0260076684137633
2020-12-09 22:00:00+00:00,1.645,1.6709,1.645,1.6702,47714.71,0.014024649383765242,1.6610624999999999,1.78338,-1,-1.0,0.0,0.0,-0.014024649383765242,0.5603645483954257,1.0400323177975284
2020-12-09 23:00:00+00:00,1.6672,1.6777,1.6521,1.6592,37579.8,-0.006586037600287309,1.6576875000000002,1.780211,-1,-1.0,0.0,0.0,0.006586037600287309,0.566950585995713,1.033446280197241
2020-12-10 00:00:00+00:00,1.6599,1.6664,1.64,1.6469,25151.06,-0.007413211186113822,1.6555325,1.777091,-1,-1.0,0.0,0.0,0.007413211186113822,0.5743637971818268,1.0260330690111275
2020-12-10 01:00:00+00:00,1.6466,1.6507,1.6335,1.6423,33296.01,-0.002793126480053365,1.654795,1.774015,-1,-1.0,0.0,0.0,0.002793126480053365,0.5771569236618802,1.0232399425310739
2020-12-10 02:00:00+00:00,1.6423,1.6497,1.624,1.6291,32119.08,-0.008037508372404578,1.653515,1.770746,-1,-1.0,0.0,0.0,0.008037508372404578,0.5851944320342848,1.0152024341586694
2020-12-10 03:00:00+00:00,1.6292,1.6297,1.6151,1.6179,68405.15,-0.006874961635258803,1.6519825000000001,1.7671299999999999,-1,-1.0,0.0,0.0,0.006874961635258803,0.5920693936695436,1.0083274725234106
2020-12-10 04:00:00+00:00,1.6171,1.6266,1.6146,1.6193,19726.87,0.0008653192409915356,1.650465,1.7636420000000002,-1,-1.0,0.0,0.0,-0.0008653192409915356,0.591204074428552,1.0091927917644021
2020-12-10 05:00:00+00:00,1.6193,1.622,1.6,1.6016,45866.07,-0.010930649045884033,1.647755,1.760094,-1,-1.0,0.0,0.0,0.010930649045884033,0.6021347234744361,0.9982621427185181
2020-12-10 06:00:00+00:00,1.6042,1.6077,1.5825,1.5864,53156.5,-0.009490509490509447,1.64483,1.756573,-1,-1.0,0.0,0.0,0.009490509490509447,0.6116252329649455,0.9887716332280087
2020-12-10 07:00:00+00:00,1.585,1.5937,1.579,1.5922,41162.23,0.0036560766515381093,1.6419324999999998,1.7532719999999997,-1,-1.0,0.0,0.0,-0.0036560766515381093,0.6079691563134074,0.9924277098795468
2020-12-10 08:00:00+00:00,1.5912,1.6276,1.585,1.6254,44878.49,0.02085165180253723,1.6393425000000001,1.7503790000000001,-1,-1.0,0.0,0.0,-0.02085165180253723,0.5871175045108702,1.013279361682084
