method,horizon,split,calendar,n_periods,mean_period_return,std_period_return,win_rate,total_return
ridge,1h,train,month,46,0.029795665337859056,0.09467006759862735,0.5869565217391305,2.2006516959138103
ridge,1h,train,quarter,16,0.09761196809487954,0.23558850151417393,0.5,2.200651695913845
ridge,1h,train,year,4,0.38619729914421336,0.4357399840528144,0.75,2.2006516959138382
ridge,1h,valid,month,16,-0.01013018236239853,0.04985630937252785,0.375,-0.16627247771403353
ridge,1h,valid,quarter,6,-0.026275554805026358,0.09018684735930894,0.5,-0.1662724777140343
ridge,1h,valid,year,3,-0.05758167256454383,0.05936279392350985,0.3333333333333333,-0.16627247771403497
ridge,1h,test,month,16,-0.02377400734390217,0.057705571263283184,0.25,-0.33630385611944613
ridge,1h,test,quarter,6,-0.06426707124137881,0.0617621734730005,0.0,-0.33630385611944824
ridge,1h,test,year,2,-0.17819933085592476,0.1527101563426569,0.0,-0.3363038561194496
tree,1h,train,month,46,0.043914197518291974,0.20703207880037577,0.08695652173913043,3.0752044107150223
tree,1h,train,quarter,16,0.12348560163207599,0.3281690551025196,0.25,3.075204410715033
tree,1h,train,year,4,0.5133460810180499,0.6106417972028555,0.5,3.075204410715041
tree,1h,valid,month,16,-0.0033870851904096444,0.01354834076163858,0.0,-0.05419336304655431
tree,1h,valid,quarter,6,-0.009032227174425719,0.022124347818243285,0.0,-0.05419336304655431
tree,1h,valid,year,3,-0.018064454348851438,0.03128855274321925,0.0,-0.05419336304655431
tree,1h,test,month,16,-0.0025826423204247106,0.010330569281698843,0.0,-0.04132227712679537
tree,1h,test,quarter,6,-0.006887046187799228,0.016869748995088196,0.0,-0.04132227712679537
tree,1h,test,year,2,-0.020661138563397685,0.029219262370426772,0.0,-0.04132227712679537
equal_weight,1d,train,month,46,0.004860807539581629,0.07667038936074917,0.5434782608695652,0.10006683248776804
equal_weight,1d,train,quarter,16,0.020200170254645287,0.17909220302788245,0.4375,0.10006683248776249
equal_weight,1d,train,year,4,0.07909675097842675,0.4114832156914243,0.5,0.10006683248777182
equal_weight,1d,valid,month,16,-0.0014115909225115575,0.04217743893447331,0.5,-0.03513582049868924
equal_weight,1d,valid,quarter,6,-0.0054792461821908485,0.03316085162857095,0.5,-0.035135820498685466
equal_weight,1d,valid,year,3,-0.011674472396267252,0.022831627779822016,0.3333333333333333,-0.03513582049868447
equal_weight,1d,test,month,16,0.02148489025028258,0.05804954868534368,0.4375,0.3727198562827896
equal_weight,1d,test,quarter,6,0.05853449836183181,0.10886708169664298,0.8333333333333334,0.3727198562827867
equal_weight,1d,test,year,2,0.18469630688536653,0.24813497643438565,1.0,0.37271985628278004
